department,municipality_id,municipality,year,month,population,value
Oruro,41201,Andamarca,2007,4,No de comunidades que participaron en el CAI d,2
Oruro,40603,Antequera,2007,4,No de comunidades que participaron en el CAI d,4
Cochabamba,30402,Anzaldo,2007,4,No de comunidades que participaron en el CAI d,3
Potosí,51301,Arampampa,2007,4,No de comunidades que participaron en el CAI d,6
Cochabamba,30403,Arbieto,2007,4,No de comunidades que participaron en el CAI d,8
Santa Cruz,71501,Ascencion De Guarayos,2007,4,No de comunidades que participaron en el CAI d,5
La Paz,20502,Ayata,2007,4,No de comunidades que participaron en el CAI d,1
La Paz,21303,Ayo Ayo,2007,4,No de comunidades que participaron en el CAI d,5
Chuquisaca,10201,Azurduy,2007,4,No de comunidades que participaron en el CAI d,1
La Paz,21203,Batallas,2007,4,No de comunidades que participaron en el CAI d,23
Oruro,41202,Belen De Andamarca,2007,4,No de comunidades que participaron en el CAI d,4
Potosí,50301,Betanzos,2007,4,No de comunidades que participaron en el CAI d,42
Santa Cruz,70401,Buena Vista,2007,4,No de comunidades que participaron en el CAI d,1
Potosí,51102,"Caiza ""d""",2007,4,No de comunidades que participaron en el CAI d,11
La Paz,21003,Cajuata,2007,4,No de comunidades que participaron en el CAI d,4
La Paz,21304,Calamarca,2007,4,No de comunidades que participaron en el CAI d,12
Cochabamba,30701,Capinota,2007,4,No de comunidades que participaron en el CAI d,3
La Paz,20302,Caquiaviri,2007,4,No de comunidades que participaron en el CAI d,3
Oruro,40102,Caracollo,2007,4,No de comunidades que participaron en el CAI d,1
La Paz,22001,Caranavi,2007,4,No de comunidades que participaron en el CAI d,25
Oruro,40201,Challapata,2007,4,No de comunidades que participaron en el CAI d,14
Santa Cruz,70702,Charagua,2007,4,No de comunidades que participaron en el CAI d,2
Cochabamba,30101,Cochabamba,2007,4,No de comunidades que participaron en el CAI d,11
Oruro,40902,Coipasa,2007,4,No de comunidades que participaron en el CAI d,1
La Paz,21307,Collana,2007,4,No de comunidades que participaron en el CAI d,7
Cochabamba,31002,Colomi,2007,4,No de comunidades que participaron en el CAI d,10
Santa Cruz,70603,Colpa Belgica,2007,4,No de comunidades que participaron en el CAI d,1
Potosí,50401,Colquechaca,2007,4,No de comunidades que participaron en el CAI d,2
La Paz,21306,Colquencha,2007,4,No de comunidades que participaron en el CAI d,18
Santa Cruz,71301,Comarapa,2007,4,No de comunidades que participaron en el CAI d,7
La Paz,20605,Combaya,2007,4,No de comunidades que participaron en el CAI d,2
Santa Cruz,71101,Concepcion,2007,4,No de comunidades que participaron en el CAI d,1
Oruro,40301,Corque,2007,4,No de comunidades que participaron en el CAI d,11
Potosí,50601,Cotagaita,2007,4,No de comunidades que participaron en el CAI d,4
Santa Cruz,70102,Cotoca,2007,4,No de comunidades que participaron en el CAI d,8
Santa Cruz,71106,Cuatro Cañadas,2007,4,No de comunidades que participaron en el CAI d,4
Cochabamba,31405,Cuchumuela (v. G. Villarroel),2007,4,No de comunidades que participaron en el CAI d,1
Chuquisaca,10902,Culpina,2007,4,No de comunidades que participaron en el CAI d,7
La Paz,21602,Curva,2007,4,No de comunidades que participaron en el CAI d,5
La Paz,20804,Desaguadero,2007,4,No de comunidades que participaron en el CAI d,2
La Paz,20105,El Alto,2007,4,No de comunidades que participaron en el CAI d,17
Santa Cruz,71503,El Puente(stc),2007,4,No de comunidades que participaron en el CAI d,2
Tarija,60502,El Puente(tja),2007,4,No de comunidades que participaron en el CAI d,43
Santa Cruz,70105,El Torno,2007,4,No de comunidades que participaron en el CAI d,2
Tarija,60601,Entre Rios,2007,4,No de comunidades que participaron en el CAI d,7
Santa Cruz,71004,Fernandez Alonso,2007,4,No de comunidades que participaron en el CAI d,2
Santa Cruz,71002,General Saavedra,2007,4,No de comunidades que participaron en el CAI d,2
La Paz,20602,Guanay,2007,4,No de comunidades que participaron en el CAI d,2
La Paz,20802,Guaqui,2007,4,No de comunidades que participaron en el CAI d,8
Beni,80202,Guayaramerin,2007,4,No de comunidades que participaron en el CAI d,8
Chuquisaca,10502,Huacareta,2007,4,No de comunidades que participaron en el CAI d,13
La Paz,21005,Ichoca,2007,4,No de comunidades que participaron en el CAI d,5
Chuquisaca,10304,Icla,2007,4,No de comunidades que participaron en el CAI d,15
Chuquisaca,10703,Incahuasi,2007,4,No de comunidades que participaron en el CAI d,6
La Paz,20806,Jesus De Machaca,2007,4,No de comunidades que participaron en el CAI d,18
La Paz,20101,La Paz,2007,4,No de comunidades que participaron en el CAI d,62
La Paz,21202,Laja,2007,4,No de comunidades que participaron en el CAI d,8
Chuquisaca,11003,Machareti,2007,4,No de comunidades que participaron en el CAI d,6
Santa Cruz,70903,Mairana,2007,4,No de comunidades que participaron en el CAI d,4
La Paz,20103,Mecapaca,2007,4,No de comunidades que participaron en el CAI d,1
Cochabamba,31301,Mizque,2007,4,No de comunidades que participaron en el CAI d,4
La Paz,20402,Mocomoco,2007,4,No de comunidades que participaron en el CAI d,1
Chuquisaca,10501,Monteagudo,2007,4,No de comunidades que participaron en el CAI d,5
Santa Cruz,71001,Montero,2007,4,No de comunidades que participaron en el CAI d,23
Santa Cruz,70803,Moro Moro,2007,4,No de comunidades que participaron en el CAI d,2
Cochabamba,30302,Morochata,2007,4,No de comunidades que participaron en el CAI d,3
Pando,90401,Nacebe (santa Rosa Del Abuna),2007,4,No de comunidades que participaron en el CAI d,1
Santa Cruz,70202,Okinawa,2007,4,No de comunidades que participaron en el CAI d,3
Cochabamba,30203,Omereque,2007,4,No de comunidades que participaron en el CAI d,2
Oruro,40101,Oruro,2007,4,No de comunidades que participaron en el CAI d,1
Tarija,60201,Padcaya,2007,4,No de comunidades que participaron en el CAI d,7
Santa Cruz,70502,Pailon,2007,4,No de comunidades que participaron en el CAI d,4
La Paz,21104,Palos Blancos,2007,4,No de comunidades que participaron en el CAI d,8
La Paz,21305,Patacamaya,2007,4,No de comunidades que participaron en el CAI d,7
Cochabamba,31203,Pocona,2007,4,No de comunidades que participaron en el CAI d,3
Santa Cruz,70103,Porongo,2007,4,No de comunidades que participaron en el CAI d,1
Potosí,50101,Potosi,2007,4,No de comunidades que participaron en el CAI d,1
Chuquisaca,10302,Presto,2007,4,No de comunidades que participaron en el CAI d,1
Santa Cruz,70805,Pucara,2007,4,No de comunidades que participaron en el CAI d,1
La Paz,21201,Pucarani,2007,4,No de comunidades que participaron en el CAI d,23
La Paz,20403,Puerto Carabuco,2007,4,No de comunidades que participaron en el CAI d,4
La Paz,21204,Puerto Perez,2007,4,No de comunidades que participaron en el CAI d,10
Santa Cruz,71402,Puerto Quijarro,2007,4,No de comunidades que participaron en el CAI d,1
Potosí,51101,Puna,2007,4,No de comunidades que participaron en el CAI d,70
Cochabamba,31401,Punata,2007,4,No de comunidades que participaron en el CAI d,7
Cochabamba,30901,Quillacollo,2007,4,No de comunidades que participaron en el CAI d,3
La Paz,21002,Quime,2007,4,No de comunidades que participaron en el CAI d,3
Potosí,50402,Ravelo,2007,4,No de comunidades que participaron en el CAI d,28
Beni,80301,Reyes,2007,4,No de comunidades que participaron en el CAI d,1
Santa Cruz,70503,Robore,2007,4,No de comunidades que participaron en el CAI d,5
Cochabamba,30404,Sacabamba,2007,4,No de comunidades que participaron en el CAI d,4
Potosí,50701,Sacaca,2007,4,No de comunidades que participaron en el CAI d,19
Santa Cruz,71302,Saipina,2007,4,No de comunidades que participaron en el CAI d,2
Santa Cruz,70901,Samaipata,2007,4,No de comunidades que participaron en el CAI d,3
Santa Cruz,71105,San Antonio De Lomerio,2007,4,No de comunidades que participaron en el CAI d,13
Beni,80302,San Borja,2007,4,No de comunidades que participaron en el CAI d,2
Beni,80102,San Javier(bni),2007,4,No de comunidades que participaron en el CAI d,3
Santa Cruz,71104,San Julian,2007,4,No de comunidades que participaron en el CAI d,41
Tarija,60501,San Lorenzo(tja),2007,4,No de comunidades que participaron en el CAI d,23
Chuquisaca,10702,San Lucas,2007,4,No de comunidades que participaron en el CAI d,24
Santa Cruz,71201,San Matias,2007,4,No de comunidades que participaron en el CAI d,2
Santa Cruz,71005,San Pedro,2007,4,No de comunidades que participaron en el CAI d,17
La Paz,21702,San Pedro De Tiquina,2007,4,No de comunidades que participaron en el CAI d,3
Pando,90202,San Pedro(pnd),2007,4,No de comunidades que participaron en el CAI d,5
Santa Cruz,70101,Santa Cruz De La Sierra,2007,4,No de comunidades que participaron en el CAI d,16
Beni,80303,Santa Rosa,2007,4,No de comunidades que participaron en el CAI d,1
Santa Cruz,70602,Santa Rosa Del Sara,2007,4,No de comunidades que participaron en el CAI d,15
La Paz,20308,Santiago De Callapa,2007,4,No de comunidades que participaron en el CAI d,5
Oruro,41401,Santiago De Huari,2007,4,No de comunidades que participaron en el CAI d,4
La Paz,21301,Sica Sica (villa Aroma),2007,4,No de comunidades que participaron en el CAI d,14
Chuquisaca,10403,Sopachuy,2007,4,No de comunidades que participaron en el CAI d,3
Oruro,40104,Soracachi,2007,4,No de comunidades que participaron en el CAI d,4
Chuquisaca,10101,Sucre,2007,4,No de comunidades que participaron en el CAI d,22
Cochabamba,30602,Tacopaya,2007,4,No de comunidades que participaron en el CAI d,7
Cochabamba,31101,Tapacari,2007,4,No de comunidades que participaron en el CAI d,18
Cochabamba,30401,Tarata,2007,4,No de comunidades que participaron en el CAI d,40
Tarija,60101,Tarija,2007,4,No de comunidades que participaron en el CAI d,22
Chuquisaca,10202,Tarvita,2007,4,No de comunidades que participaron en el CAI d,1
Potosí,50102,Tinguipaya,2007,4,No de comunidades que participaron en el CAI d,3
Cochabamba,31601,Tiraque (cbba),2007,4,No de comunidades que participaron en el CAI d,18
La Paz,21703,Tito Yupanqui (parquipujio),2007,4,No de comunidades que participaron en el CAI d,2
Oruro,41502,Todos Santos,2007,4,No de comunidades que participaron en el CAI d,21
Oruro,41301,Totora(orr),2007,4,No de comunidades que participaron en el CAI d,2
Potosí,50801,Tupiza,2007,4,No de comunidades que participaron en el CAI d,30
Potosí,50201,Uncia,2007,4,No de comunidades que participaron en el CAI d,1
Santa Cruz,70801,Vallegrande,2007,4,No de comunidades que participaron en el CAI d,8
La Paz,20801,Viacha,2007,4,No de comunidades que participaron en el CAI d,6
Cochabamba,31302,Vila Vila,2007,4,No de comunidades que participaron en el CAI d,12
Cochabamba,31402,Villa Rivero,2007,4,No de comunidades que participaron en el CAI d,3
Cochabamba,31003,Villa Tunari,2007,4,No de comunidades que participaron en el CAI d,49
Potosí,50602,Vitichi,2007,4,No de comunidades que participaron en el CAI d,5
Santa Cruz,70201,Warnes,2007,4,No de comunidades que participaron en el CAI d,7
Chuquisaca,10602,Yamparaez,2007,4,No de comunidades que participaron en el CAI d,14
Santa Cruz,70403,Yapacani,2007,4,No de comunidades que participaron en el CAI d,6
Chuquisaca,10301,Zudañez,2007,4,No de comunidades que participaron en el CAI d,26
La Paz,20201,Achacachi,2007,5,No de comunidades que participaron en el CAI d,50
La Paz,20104,Achocalla,2007,5,No de comunidades que participaron en el CAI d,2
Cochabamba,30201,Aiquile,2007,5,No de comunidades que participaron en el CAI d,6
Chuquisaca,10404,Alcala,2007,5,No de comunidades que participaron en el CAI d,5
La Paz,20202,Ancoraimes,2007,5,No de comunidades que participaron en el CAI d,28
Cochabamba,30402,Anzaldo,2007,5,No de comunidades que participaron en el CAI d,11
Potosí,50802,Atocha,2007,5,No de comunidades que participaron en el CAI d,3
La Paz,21303,Ayo Ayo,2007,5,No de comunidades que participaron en el CAI d,11
Chuquisaca,10201,Azurduy,2007,5,No de comunidades que participaron en el CAI d,2
La Paz,21203,Batallas,2007,5,No de comunidades que participaron en el CAI d,12
Potosí,50301,Betanzos,2007,5,No de comunidades que participaron en el CAI d,43
Potosí,51102,"Caiza ""d""",2007,5,No de comunidades que participaron en el CAI d,2
La Paz,21003,Cajuata,2007,5,No de comunidades que participaron en el CAI d,4
La Paz,20303,Calacoto,2007,5,No de comunidades que participaron en el CAI d,4
La Paz,21304,Calamarca,2007,5,No de comunidades que participaron en el CAI d,8
Cochabamba,30701,Capinota,2007,5,No de comunidades que participaron en el CAI d,6
La Paz,22001,Caranavi,2007,5,No de comunidades que participaron en el CAI d,1
Tarija,60302,Carapari,2007,5,No de comunidades que participaron en el CAI d,3
La Paz,21902,Catacora,2007,5,No de comunidades que participaron en el CAI d,1
Oruro,40201,Challapata,2007,5,No de comunidades que participaron en el CAI d,9
Cochabamba,30101,Cochabamba,2007,5,No de comunidades que participaron en el CAI d,7
Cochabamba,30905,Colcapirhua,2007,5,No de comunidades que participaron en el CAI d,2
La Paz,21307,Collana,2007,5,No de comunidades que participaron en el CAI d,7
Potosí,50401,Colquechaca,2007,5,No de comunidades que participaron en el CAI d,1
La Paz,21306,Colquencha,2007,5,No de comunidades que participaron en el CAI d,20
Santa Cruz,71101,Concepcion,2007,5,No de comunidades que participaron en el CAI d,1
Oruro,40301,Corque,2007,5,No de comunidades que participaron en el CAI d,45
Santa Cruz,71106,Cuatro Cañadas,2007,5,No de comunidades que participaron en el CAI d,14
Cochabamba,31405,Cuchumuela (v. G. Villarroel),2007,5,No de comunidades que participaron en el CAI d,1
Chuquisaca,10902,Culpina,2007,5,No de comunidades que participaron en el CAI d,5
La Paz,21602,Curva,2007,5,No de comunidades que participaron en el CAI d,4
La Paz,20804,Desaguadero,2007,5,No de comunidades que participaron en el CAI d,2
La Paz,20105,El Alto,2007,5,No de comunidades que participaron en el CAI d,16
Tarija,60502,El Puente(tja),2007,5,No de comunidades que participaron en el CAI d,31
Santa Cruz,71004,Fernandez Alonso,2007,5,No de comunidades que participaron en el CAI d,2
La Paz,20602,Guanay,2007,5,No de comunidades que participaron en el CAI d,2
La Paz,20802,Guaqui,2007,5,No de comunidades que participaron en el CAI d,4
Oruro,40701,Huanuni,2007,5,No de comunidades que participaron en el CAI d,1
La Paz,21005,Ichoca,2007,5,No de comunidades que participaron en el CAI d,4
Chuquisaca,10703,Incahuasi,2007,5,No de comunidades que participaron en el CAI d,8
La Paz,20806,Jesus De Machaca,2007,5,No de comunidades que participaron en el CAI d,38
La Paz,20101,La Paz,2007,5,No de comunidades que participaron en el CAI d,64
La Paz,21202,Laja,2007,5,No de comunidades que participaron en el CAI d,12
Oruro,40702,Machacamarca,2007,5,No de comunidades que participaron en el CAI d,7
Santa Cruz,70903,Mairana,2007,5,No de comunidades que participaron en el CAI d,4
La Paz,20607,Mapiri,2007,5,No de comunidades que participaron en el CAI d,4
La Paz,20103,Mecapaca,2007,5,No de comunidades que participaron en el CAI d,6
Santa Cruz,71003,Mineros,2007,5,No de comunidades que participaron en el CAI d,4
Cochabamba,31301,Mizque,2007,5,No de comunidades que participaron en el CAI d,16
Chuquisaca,10303,Mojocoya,2007,5,No de comunidades que participaron en el CAI d,5
Santa Cruz,71001,Montero,2007,5,No de comunidades que participaron en el CAI d,24
Cochabamba,30302,Morochata,2007,5,No de comunidades que participaron en el CAI d,10
Potosí,50404,Ocuri,2007,5,No de comunidades que participaron en el CAI d,22
Santa Cruz,70202,Okinawa,2007,5,No de comunidades que participaron en el CAI d,1
Tarija,60201,Padcaya,2007,5,No de comunidades que participaron en el CAI d,2
Chuquisaca,10401,Padilla,2007,5,No de comunidades que participaron en el CAI d,9
La Paz,20102,Palca,2007,5,No de comunidades que participaron en el CAI d,2
La Paz,21305,Patacamaya,2007,5,No de comunidades que participaron en el CAI d,8
Oruro,40602,Pazña,2007,5,No de comunidades que participaron en el CAI d,4
Cochabamba,31202,Pojo (cbba),2007,5,No de comunidades que participaron en el CAI d,6
Santa Cruz,70103,Porongo,2007,5,No de comunidades que participaron en el CAI d,2
Santa Cruz,70804,Postrer Valle,2007,5,No de comunidades que participaron en el CAI d,2
Potosí,50101,Potosi,2007,5,No de comunidades que participaron en el CAI d,2
La Paz,21201,Pucarani,2007,5,No de comunidades que participaron en el CAI d,7
La Paz,20403,Puerto Carabuco,2007,5,No de comunidades que participaron en el CAI d,5
Santa Cruz,71402,Puerto Quijarro,2007,5,No de comunidades que participaron en el CAI d,1
Cochabamba,31205,Puerto Villarroel,2007,5,No de comunidades que participaron en el CAI d,13
Potosí,51101,Puna,2007,5,No de comunidades que participaron en el CAI d,34
Cochabamba,31401,Punata,2007,5,No de comunidades que participaron en el CAI d,7
Cochabamba,30901,Quillacollo,2007,5,No de comunidades que participaron en el CAI d,1
Santa Cruz,70503,Robore,2007,5,No de comunidades que participaron en el CAI d,5
Cochabamba,31001,Sacaba,2007,5,No de comunidades que participaron en el CAI d,1
Cochabamba,30404,Sacabamba,2007,5,No de comunidades que participaron en el CAI d,13
Santa Cruz,70901,Samaipata,2007,5,No de comunidades que participaron en el CAI d,1
Santa Cruz,71105,San Antonio De Lomerio,2007,5,No de comunidades que participaron en el CAI d,14
